Date,District of Columbia DC,Fairfax County VA,Montgomery County MD,Prince Georges County MD,District of Columbia DC,Prince William County VA,Loudoun County VA,Frederick County MD,Arlington County VA,Charles County MD,Alexandria City VA,Stafford County VA,Spotsylvania County VA,Calvert County MD,Fauquier County VA,Jefferson County WV,Culpeper County VA,Manassas City VA,Warren County VA,Fredericksburg City VA,Fairfax City VA,Manassas Park City VA,Clarke County VA,Falls Church City VA,Rappahannock County VA
1/31/2000,193561,233817,227539,160639,193561,184269,251128,184080,245007,185063,,,,187328,192552,157837,,,,145660,232818,150535,173353,317932,
2/29/2000,194567,234515,227278,160471,194567,185052,252175,184069,246120,185069,,,,187334,193474,157793,,,,147088,233722,151110,174066,319843,
3/31/2000,195503,235396,227412,160412,195503,185607,253238,184248,247396,185412,,,,187640,194074,157946,,,,147721,234512,151692,174591,321364,
4/30/2000,197623,237327,227983,160180,197623,186186,255493,184725,249838,186098,,,,188511,195503,158016,,,,149414,236207,152884,176030,324405,
5/31/2000,199604,239531,229369,160382,199604,186650,257591,185637,252208,187224,,,,189803,196646,158287,,,,150381,237720,153937,177405,326872,
6/30/2000,201864,241993,231403,160531,201864,187033,259663,185859,254558,188247,,,,190963,197988,158759,,,,151407,239164,154821,178520,328801,
7/31/2000,203894,244850,234463,160858,203894,188407,261102,185942,256870,189225,,,,191756,199317,159372,,,,151981,240689,155707,179856,330627,
8/31/2000,205572,249847,237276,160625,205572,189692,263483,185869,259499,190117,,,,192403,200701,160174,,,,152330,242238,156577,181024,332559,
9/30/2000,206783,254497,239434,160951,206783,191606,266144,186713,262542,190909,,,,193303,201995,160690,,,,152893,243889,157577,182288,334727,
10/31/2000,206733,259041,241096,161626,206733,192949,269970,188033,267239,191680,,,,194122,203182,161349,,,,153406,245326,158377,182964,336704,
11/30/2000,207141,261417,243508,162651,207141,194621,273500,188804,271312,192420,,,,195219,205783,162185,,,,154303,247275,159520,183864,339469,
12/31/2000,207673,264320,246554,163393,207673,196522,278648,189843,275066,193407,,,,196391,208507,163416,,,,155098,249370,160626,185327,342619,
1/31/2001,208933,267253,248710,163741,208933,198293,284226,189840,278114,194334,,,,197987,211498,165107,,,,156442,251798,162141,187229,346253,
2/28/2001,210081,269668,250495,164072,210081,199886,290330,190554,281296,195235,,,,199427,213303,165859,,,,157818,253896,163495,188964,349105,
3/31/2001,211542,272882,252096,164452,211542,201321,294883,191154,285121,195984,,,,200714,215288,166465,,,,159347,256124,165141,190407,352076,
4/30/2001,213795,276387,254844,165138,213795,203493,299269,192804,288287,197077,,193959,,201747,216498,166719,,,,160592,258332,166603,191922,355096,
5/31/2001,216029,280942,257874,166026,216029,206546,303230,194282,292412,196676,,194711,,201792,217666,167689,,,,161865,260615,168150,193680,358233,
6/30/2001,218186,284810,261281,166912,218186,209943,308258,196513,296305,196486,,194701,,201959,218591,168778,,,,163025,262813,169413,195562,361391,
7/31/2001,220415,288178,265275,167712,220415,213483,312991,198969,301201,196155,,195448,,202236,220343,169725,,,,164115,265059,170845,196917,364467,
8/31/2001,223015,291937,269228,168732,223015,216706,317530,201109,305597,197596,,196624,,203198,221690,170739,,,,164960,266928,171911,198423,366975,
9/30/2001,225809,295553,272967,169927,225809,219754,320779,202900,309879,199096,,198825,,204081,223033,171549,,,,165804,268635,173131,199831,369315,
10/31/2001,228581,299019,275820,171253,228581,222786,323952,204479,313495,200624,,201336,,205362,224077,172522,,,,166660,270076,174022,201455,371500,
11/30/2001,231186,302253,278381,172902,231186,225288,327050,206292,318136,201926,,203564,176202,206700,225662,172996,,,,167783,272156,175405,202979,374832,
12/31/2001,233908,305278,281376,174523,233908,227439,329752,207634,323094,203030,,205605,177376,208135,227292,173321,185466,,,168959,274237,176647,204786,378137,
1/31/2002,236464,307830,283999,176036,236464,229517,331807,209214,327929,203760,,207577,178494,208919,229251,173522,186193,,,170502,276532,178168,206540,381520,
2/28/2002,239156,310520,286730,176772,239156,231997,333369,210573,331625,204501,,209441,180335,210144,231531,174245,187446,,,172210,279016,179844,208404,385176,
3/31/2002,241345,313736,289130,177932,241345,234638,335485,212220,335451,205372,,211268,181943,211321,233990,175004,189263,,,173905,281897,181829,210263,389153,
4/30/2002,244087,317758,292755,179281,244087,237137,338120,214144,339571,206827,,212856,183443,212838,236568,175941,191177,,,175543,284955,183891,212429,393421,
5/31/2002,247021,321480,296804,181372,247021,240108,341133,217390,344485,208441,,215021,185288,214274,239237,176659,192417,,,177002,287711,185752,214493,397083,
6/30/2002,250458,325844,301559,183265,250458,243366,343961,220534,349907,209930,,217620,187138,216120,242716,177493,193825,,,178476,290376,187554,216602,400880,
7/31/2002,253660,330207,307103,185550,253660,247051,347521,223135,355779,211334,,220825,189281,218206,248653,178132,195181,,,179949,293011,189370,218637,404616,
8/31/2002,256674,335006,312886,188004,256674,251217,351464,225915,361417,213002,,224184,192078,220544,254618,179030,196339,,,180894,295039,190779,220201,407486,
9/30/2002,260011,339179,318161,190334,260011,255071,355210,228911,367179,215097,,227334,195757,222904,259713,179926,197555,,,181927,296813,192001,221760,410201,
10/31/2002,263664,343150,322226,192404,263664,258654,357406,232221,372247,217347,,229781,199404,225099,262639,181038,198668,,,182627,298439,,222913,412472,
11/30/2002,268246,346222,326395,193448,268246,261172,359431,235843,377866,219387,,231694,201485,227253,265208,181510,199994,,,183792,300581,,224115,415411,
12/31/2002,272796,348897,330341,194939,272796,263791,361678,238605,382555,222369,,233680,203087,229786,268682,181870,201086,,,184786,302859,201278,225116,418127,
1/31/2003,276667,350810,333803,196438,276667,266084,364276,241402,386539,224778,,236135,204500,232067,271828,182013,202233,,,186208,305248,,226288,421092,
2/28/2003,280010,354460,337887,198262,280010,267913,366523,243348,390484,227305,,238879,206915,234557,275209,182813,203668,,,187647,307439,199261,227986,424276,
3/31/2003,282955,357937,342482,199807,282955,270618,369759,246151,394058,228989,,242097,209286,237072,277973,183722,205058,,,189032,309636,200681,229832,427209,
4/30/2003,286515,362678,347202,201462,286515,273308,373470,248291,399553,231446,,245751,211922,240781,280793,184725,206324,,,190207,311651,201953,231791,430179,
5/31/2003,290119,366355,350733,203888,290119,276969,377062,250951,405585,234571,,249133,214617,245062,284483,185596,207704,,,191613,314456,203744,234010,433609,
6/30/2003,293993,370449,355117,206117,293993,280267,380610,254436,411757,238166,,252760,217806,248966,288090,186572,209215,,,193120,317477,205553,236305,437678,
7/31/2003,297752,374769,358975,208633,297752,284806,384303,259037,416866,241599,,256467,220794,252298,291771,187584,210999,,,194604,320723,213395,238634,442185,
8/31/2003,301315,378617,364101,210805,301315,288746,388738,262686,421929,245075,,260301,223639,255761,295199,188483,213580,,,196789,324892,218419,241692,448221,
9/30/2003,304883,382437,369151,213737,304883,292321,393247,266323,427219,247859,,264389,225609,259551,298452,189259,216643,,160955,199412,329630,224352,245027,454589,
10/31/2003,309121,385887,374516,216694,309121,295634,397987,269331,431909,251032,,268094,228085,263413,302334,190124,220185,,162809,202554,335079,225317,248599,461684,
11/30/2003,312530,389947,378558,219382,312530,299066,402871,271833,436397,253235,,272007,231069,267149,305158,191237,222382,,163396,204699,338389,229555,250548,466339,
12/31/2003,315652,394027,382627,220969,315652,302580,406862,274197,441022,255725,,274808,234075,270461,303924,192416,224471,,164954,206871,341514,236203,252662,470993,
1/31/2004,318988,397810,386157,222235,318988,305608,410452,277279,446339,258158,,277624,236652,274217,302851,193653,226457,,166083,208915,344493,240444,254859,475348,
2/29/2004,322697,402126,390582,224380,322697,309603,415277,281360,451865,261571,,280968,238615,277383,301579,195078,229779,,168186,211957,349411,244724,258505,482097,
3/31/2004,327020,407748,394453,226998,327020,314205,421826,285386,457416,265027,,284651,240494,280579,308270,196763,233184,,170492,215166,354594,245878,261920,489376,
4/30/2004,330934,415674,400333,229923,330934,319679,429514,289241,463010,268863,,288938,243367,283146,314839,198494,236639,,172888,218789,359938,248809,265817,497194,
5/31/2004,335844,425634,405694,232585,335844,326673,440877,293555,469533,273047,,294028,247355,288939,322892,200158,239449,,175077,222286,364691,255339,269263,503915,
6/30/2004,341192,436364,412723,236234,341192,333889,450731,299011,477397,278399,,301292,252924,295719,328329,201663,242958,,177766,226198,370616,262403,273953,512058,
7/31/2004,347701,447315,420836,241050,347701,342258,464041,304988,488294,284522,,311066,259525,302896,333738,203092,246533,,180386,230032,376977,268629,278837,520351,
8/31/2004,353403,457732,429267,246405,353403,350971,474660,311861,498554,291300,,319991,266573,308253,340131,204351,250818,,183441,234289,384221,270148,284374,530379,
9/30/2004,360524,467964,437275,251685,360524,360116,488554,318150,507337,298974,,326621,273510,313141,346867,205660,255035,,186581,238494,390819,271323,289397,539429,
10/31/2004,369158,475196,441382,256556,369158,368245,500175,323367,514130,306104,,330871,279519,318177,353327,206951,259421,,189916,242942,397464,277236,294025,548575,
11/30/2004,377526,481184,446160,260465,377526,373484,508360,328187,522651,311800,,335213,284106,322944,358777,208315,263914,,193203,247205,404261,284496,298802,557466,
12/31/2004,382892,487345,449900,265308,382892,380703,515231,332280,532587,316199,,342119,287662,327456,365400,209612,268323,,196299,251432,411137,297688,303749,566476,
1/31/2005,384544,496203,456426,270211,384544,387131,522772,337190,540635,319970,,349261,292006,332099,372264,211325,272906,,199894,255747,417907,304116,309813,575800,
2/28/2005,389254,502096,463690,276250,389254,394421,530020,341115,545725,322612,,355547,297587,337510,379541,213771,278460,,204233,261172,425886,310056,316290,586565,
3/31/2005,395700,510800,471088,280364,395700,398494,538310,344934,552907,327613,,361337,304796,344454,386820,216572,284043,,209398,266614,434456,305993,322353,598306,
4/30/2005,404150,520773,480339,285306,404150,405766,545028,350271,561924,333884,,367164,312060,351066,392620,219453,289947,,214736,272456,443865,304610,328117,610729,
5/31/2005,409926,535978,488238,290738,409926,414819,556969,357686,572568,341931,,374320,319251,356741,398492,222248,294416,,219966,276952,451860,302310,333381,621177,
6/30/2005,415711,548475,496429,298421,415711,425277,568822,364506,581922,348648,,381613,325599,361738,401868,225251,299114,,225158,281719,459614,304972,339159,631510,
7/31/2005,422454,558947,504140,305861,422454,433440,579705,370742,590911,356896,,391030,330466,367222,406833,228616,303359,,230485,286182,467058,308565,345219,641671,
8/31/2005,430266,566042,512382,312648,430266,439969,588752,375518,599479,365165,,400238,335705,374603,413662,230997,307088,,234724,290058,473009,316142,350024,649740,
9/30/2005,437199,574227,518062,319456,437199,447605,598165,381514,608143,372807,,407513,340709,381585,422219,233328,310278,,238647,293788,478224,323029,354097,656494,
10/31/2005,442036,579491,523729,326596,442036,454722,607339,386650,617731,378477,,413295,344652,387728,432611,235083,314064,,241667,297081,482800,325966,357475,662323,
11/30/2005,446611,584830,525938,332828,446611,460519,610785,390012,627091,384215,,418543,348471,391227,439885,237273,317774,,244688,300671,487999,329066,361403,669074,
12/31/2005,451020,586117,532163,338841,451020,466014,609744,393408,634016,390712,,424638,353413,394670,445363,239340,321055,,247264,304047,492945,332577,365606,675752,
1/31/2006,455630,588667,535393,342973,455630,469976,614240,397689,640532,395329,,428898,361237,398328,448925,241398,323719,,249437,307257,497588,341043,369478,681817,
2/28/2006,459252,592418,538535,347874,459252,473865,622240,402439,644251,399595,,430304,366401,401770,452950,242274,326382,,251344,310123,501442,348412,372826,687021,
3/31/2006,463135,596643,543149,353384,463135,476772,626090,406611,646808,400888,,432255,368372,404049,459310,242573,329349,,252676,312488,504831,354665,375424,691635,
4/30/2006,466347,598913,547719,359547,466347,478558,626250,409658,644015,403635,,434372,369942,406843,466940,242530,331538,,254074,314333,507618,360397,377465,695752,
5/31/2006,468822,595424,554240,365009,468822,481177,624784,412118,641909,408012,,438628,373494,410621,473119,244189,333391,,255222,315618,509910,364993,379370,699038,
6/30/2006,469534,591869,556331,368212,469534,481910,622476,414526,639431,413081,,440586,377393,416064,476267,245981,333627,,255888,316447,511368,371326,380853,701007,
7/31/2006,468548,587502,557693,373473,468548,483239,617812,415037,638889,417644,,440497,378066,420044,476737,247756,332827,,256215,316981,512268,374222,381593,701435,
8/31/2006,467667,583359,557902,379212,467667,481957,608644,415595,637438,420135,,437453,376295,422993,476905,249048,332036,,257012,318171,514478,376214,382985,703134,
9/30/2006,466666,576036,556451,383474,466666,477575,600004,414321,633655,420923,,433586,373206,424470,475770,250547,332419,,258187,319685,516974,376518,384714,705413,
10/31/2006,465010,568657,554565,384548,465010,472817,587225,411735,629495,421580,,428939,369560,425392,472138,252146,,,259573,321412,519787,378747,386599,708896,
11/30/2006,462493,562502,552877,385929,462493,469547,578894,409554,624604,421352,,426320,365692,425623,469861,252931,315783,,260072,322554,521063,378596,387201,711138,
12/31/2006,460513,560038,552301,387050,460513,466137,573515,407994,620182,420961,,422721,361986,424867,466037,253462,306943,,260455,323178,522096,376861,387792,712607,
1/31/2007,460269,557808,551432,388193,460269,461366,568759,407236,618187,420959,,420438,358655,425078,462099,253818,,,260493,323890,522815,376099,388150,713893,
2/28/2007,462055,557449,550010,387159,462055,453811,565730,405655,616823,422095,,417593,358270,424905,455885,254650,307774,,260483,324398,523462,375890,388969,714797,
3/31/2007,463565,555306,547868,387878,463565,447937,562372,404413,618050,425404,,415030,359459,425450,451733,255462,308021,,260356,324689,523860,377492,389193,715700,
4/30/2007,464583,556273,546030,387798,464583,443369,558773,405179,619341,427580,,413010,360150,426481,445536,256220,308006,,260303,324666,523976,377488,389641,715821,
5/31/2007,464780,554651,545259,387568,464780,439780,552626,404130,620740,428352,,411265,358024,428027,438671,256803,307099,,259584,323839,522517,375382,389099,714065,
6/30/2007,464665,550316,542334,386910,464665,435931,545752,402104,620702,425390,,407557,353012,427347,430634,257179,305731,,258176,322722,520278,372881,387853,710912,
7/31/2007,464572,544078,539193,386105,464572,429441,540011,398224,618629,422237,,401192,348415,426065,431661,257455,304236,,256444,321264,517276,368910,386175,706882,
8/31/2007,464360,537580,534741,386345,464360,422421,534897,395539,616669,417704,,394618,344432,422574,431889,257948,304150,,255983,320993,516550,364813,385615,705520,
9/30/2007,464342,533057,531465,386391,464342,415789,529237,391391,615782,416017,,389378,341139,420677,435514,258604,304139,,255815,320758,516132,360061,385307,704961,
10/31/2007,465050,526701,527001,383824,465050,411437,526015,386283,614671,415416,,385753,337978,417634,433962,259310,304155,,255671,320748,516079,353502,384770,704778,
11/30/2007,465217,521731,522309,378192,465217,407183,522302,383740,611136,411549,,382099,333216,415757,435162,259848,303649,,254946,320169,515102,340466,383626,703689,
12/31/2007,464600,516381,518053,372046,464600,399191,515737,381699,605123,405188,,379797,327676,411587,427306,260262,303269,,254380,319664,514229,325990,382516,702502,
1/31/2008,463621,512944,512768,370637,463621,389753,503658,378651,602832,396175,,370912,320923,409648,415987,260675,302883,,253607,319054,513589,315792,381733,701485,385061
2/29/2008,462417,508579,506088,368269,462417,381435,489557,375808,599046,391712,502120,362405,312487,407887,404341,261163,301991,259443,252570,317908,512018,313714,380224,699253,383986
3/31/2008,460931,501409,499431,364865,460931,372024,477163,372674,598315,387432,497997,354159,302480,409087,397087,261234,300357,250631,250962,316220,509444,312913,378272,695957,383189
4/30/2008,458758,492725,493074,360855,458758,360848,467120,369144,593868,383227,492484,351723,292221,408668,393889,261151,297994,246927,249235,313843,505787,310559,375683,691380,380979
