Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
12/31/2003,342074.545,266325.9048,285603.9778,235173.4661,313776.2727,238537.2925,294094.1263,136063.3638,272368.636,353866.4676,196644.5366,215192.7375,349035.7336,168747.298,155863.693,100999.6202,232996.6122,352151.3222,242461.8421,253574.9819,122115.4706
1/31/2004,344830.2515,267759.2506,287289.8558,237468.8855,316363.8012,241293.1278,296714.3123,136852.7646,275046.0259,356938.9419,198668.0034,217024.1171,351134.368,170245.4544,157695.8521,101891.1883,235378.7267,353102.0442,244431.1702,257276.035,122706.0735
2/29/2004,347554.2036,269447.3774,289361.7483,239700.8371,319305.7458,243729.479,298689.1468,137629.8882,277720.7336,360308.7498,200975.3194,219194.7308,354106.8713,171149.8689,159328.6922,102844.7733,238024.8492,354527.0501,246677.0382,261526.5852,123781.9517
3/31/2004,350985.1657,271394.4889,291540.82,242017.8226,322353.2441,246524.5104,301312.6981,138644.7935,279796.9642,364550.9821,203225.3328,221194.3332,357497.1643,172295.1369,161239.2981,104024.7372,240663.0189,356108.4721,249009.6211,266104.7467,125024.0592
4/30/2004,354145.7349,273672.3251,294075.3173,244510.3511,325570.5283,250068.2765,304414.9496,139960.2504,282070.982,368366.9587,205279.8501,223106.5675,361569.8131,173942.3766,163372.71,105411.9454,243101.1496,357986.2863,251492.5653,270766.0905,126431.5938
5/31/2004,358406.5645,276602.1782,296820.3704,247279.3657,329089.5129,254456.5366,308394.401,141802.228,284526.9147,372311.197,207327.0444,225602.3094,365684.0572,176396.9157,166077.1661,106800.4221,245497.5844,360642.2648,253673.1806,275343.1463,
6/30/2004,363036.8506,279914.9355,300104.1788,250629.5423,333610.9802,259045.1382,312836.3135,144182.5604,287056.8594,375704.5836,209811.1251,228263.8063,369785.0212,178778.6134,168971.0372,108634.6706,248405.5788,364022.9497,256056.6507,279783.9526,
7/31/2004,368244.6337,283885.6284,304025.6703,254831.969,338707.8288,262430.9425,317415.2077,146865.037,289857.5841,379999.4592,212604.0763,231142.8165,373878.1724,181170.7848,172405.6995,111016.3909,251816.909,368056.3027,258599.0759,284715.1792,
8/31/2004,372924.7314,288379.9009,308445.8509,,343251.6156,265012.9095,321791.3134,150115.1007,292943.1371,384774.9402,215620.5686,233919.2956,378932.7496,183891.1807,176133.0562,113525.6221,255245.7291,372252.7336,261168.6948,290003.8777,117669.6712
9/30/2004,377092.2772,292897.3778,313163.7026,267053.8382,346994.5211,267457.7318,325312.2703,153064.7163,296413.5813,389828.2684,218258.3111,237279.8229,385371.7995,186790.3134,180070.0653,116200.5428,258428.8378,376328.2458,263645.479,295155.5839,117809.3807
