RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1778.3722774303433,1791.751747205313,1809.2391628916346,1822.7646708920431,1838.6325745446636,1848.8105481782943,1863.279918545072,1873.3909291022073,1886.3666528188066,1892.2918484145364,1900.0376229293468,1907.2684865338065,1918.3180042916085,1930.7761140943946,1945.5218149131179,1959.0924535942102,1971.5846244811353,1982.2831733407088,1990.4659804982668,1998.330879489871,2003.1217215025893,2004.2508448063354,2000.8364594519408,1999.8796975929756,2019.3870668038269,2040.9393333829428,2068.2448781845346,2080.4456696902525,2095.8594457501895,2105.521926326212,2115.8470350678203,2122.3640786246724,2127.8408797783936,2130.1311818728345,2133.956214497603,2140.0790097085273,2150.810728743807,2165.0265426809538,2175.9427291927723,2187.636960413488,2196.6862444134204,2209.909135568212,2221.150925765209,2231.9031543030183,2237.462343241758,2241.4829363344725,2246.749165631937,2251.8614356885705,2258.6448642812693,2262.9061034421866,2276.4570439127187,2288.614418388191,2302.0680621726306,2311.6071130069286,2319.663144203678,2325.631753431444,2328.857667108191,2329.861707572972,2331.8457219792645,2334.8324174808076,2341.1468487280054,2344.9296950709286,2346.3560966750547,2337.5666634646536,2329.728655160754,2323.8869899884476,2325.3233888012924,2325.6595303110507,2322.066598814056,2318.307506199309,2317.04955672123,2314.284415842516,2315.3532405670967,2318.011212684153,2327.6193623786507,2339.4107142139296,2358.9362570723283,2391.4519154012933,2429.9316731458416,2472.4881673884015,2504.0402433889967,2528.377294373476,2542.0110853134065,2560.5016093934355,2579.03544253477,2604.2179318777626,2626.9801315079467,2654.5802950693737,2680.9557754459724,2703.6032121543303,2724.856016336298,2741.8096703967576,2753.4251390735753,2751.7116303055604,2745.4502563137385,2740.0656536940924,2739.6223943876676,2747.0722955244846,2758.649587258589,2771.735934590256,2778.139995248702,2785.613979475001,2794.198668515138,2803.839232135889,2806.147104038959,2804.403818412744,2795.118482811876,2787.2933238536184,2788.125646955538,2794.8174225018884,2810.1075547095825,2823.013636929545
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1508.853169381951,1518.9459154543613,1531.2819478898969,1541.4549576020745,1553.6234772355122,1563.6094349050616,1569.9319194583397,1572.258236647138,1566.2069919308015,1557.2692952817913,1548.1318960544218,1547.742842737014,1558.0594176753602,1569.914700812776,1583.760841587279,1592.697122477888,1603.6737139296577,1615.1007514068237,1622.9889804822008,1627.745942517547,1619.5005344709991,1602.7777778016716,1581.6107453307823,1568.883004913642,1580.4943390925205,1601.1225802854897,1625.8590262210664,1637.811257481092,1649.9357342543015,1656.6040889926624,1658.4643196269685,1652.5330770181888,1643.740285467745,1630.974770933163,1621.5503804721297,1620.0824999868848,1629.7079327726226,1644.1377819087204,1657.434783246527,1669.1533873638957,1680.0307205995482,1690.1252382522566,1694.9349730927875,1691.2809261648717,1678.3031308282175,1664.3861627611666,1655.9832462325776,1656.5198221345288,1666.6743077373808,1679.0304253668332,1697.0130852688023,1711.4845256205126,1724.209177305054,1732.138223669774,1735.969276849903,1737.5800866708285,1732.4457407393443,1723.862046964479,1713.4482771992105,1707.2264663160727,1716.972260591041,1730.599223103542,1746.1022520662382,1746.5857196380796,1744.63140981744,1740.8430454879817,1737.9497068542457,1728.6733035897305,1709.4875996654189,1683.2800056180747,1661.745305688996,1650.6895859882331,1649.4312039401377,1659.322234539824,1680.3290041902521,1711.2972546688673,1741.4822002843746,1766.7538845790868,1784.9610054014447,1796.5109473632679,1799.7597417293055,1798.582952384875,1796.5532478584155,1804.6705801172313,1820.7870206557163,1842.786450924029,1866.0541463700065,1889.4977798010968,1915.101785996973,1935.0843659741847,1953.3022476619735,1959.9781933946922,1960.5611409380133,1957.0396364984595,1951.7339688003551,1952.3615606837152,1960.1851790432042,1974.7882558124088,1992.8496358028583,2010.8418954092588,2035.5310098906596,2056.838656511654,2069.6202660015542,2075.6446976225716,2070.1991810210075,2058.159747575813,2046.3127394253604,2049.9114320743856,2063.6865512731383,2082.161456109208,2097.7515966658393,2120.292080293721
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1225.583755408549,1228.888957243166,1235.350683422204,1247.1305408016874,1257.6617781974646,1267.2637401882066,1268.508547019887,1269.478704365127,1264.8277999616823,1261.1073267525728,1257.744236777334,1257.086051655225,1258.8311717692557,1261.0650274476168,1267.1518416978456,1272.6959159222563,1276.4404493941427,1276.0893209468795,1273.6599806275624,1268.2612613756646,1260.072962435871,1248.2477283677508,1237.7456582377074,1232.474199741108,1242.2815962206498,1256.9424456191077,1272.1579560946577,1275.8550944277786,1283.6942511584855,1284.696898489018,1286.0397855392196,1281.4255653375205,1288.627930913326,1296.956449458598,1309.2790209091495,1318.546560695047,1320.8520729235042,1326.3692460455309,1325.3616910035676,1334.6838809592803,1336.566670317053,1342.1239516070266,1341.0151219303448,1339.6183849493714,1335.3245495601172,1334.0476663565946,1336.0140754504173,1336.9311708056293,1338.9049836476227,1336.615396146674,1342.1319358283251,1347.5691661705987,1357.7409740640649,1364.9049781052709,1368.5464962867907,1368.1032430364035,1364.528379701682,1364.0406985348566,1363.46674875349,1367.4838277848567,1370.62235577927,1377.4420472898094,1383.4674470432385,1380.2920706538853,1374.1010141087183,1367.1185171838931,1370.9045746586967,1374.8189917578952,1375.4246443597756,1376.5439211150813,1378.4873840756416,1378.8636712601403,1379.0822050868728,1375.5493367393703,1381.3221374002455,1393.5794033839757,1417.0097262092847,1444.988665716348,1469.84066625457,1491.878590103287,1504.64173504549,1513.6328524518965,1518.2407182244178,1521.6515208089995,1527.6487823484904,1536.203459194601,1546.5837472129133,1558.461816022539,1570.5530637495087,1586.288092054484,1597.965573775656,1606.112820624516,1604.1515105878675,1600.7341167329732,1596.2685702403862,1593.9258956830622,1597.7230078273967,1604.1222618506363,1613.7685067771852,1618.4028620079182,1627.636079033056,1637.0863620622963,1645.9531675111264,1648.2115635259895,1646.8154807922415,1642.6063577893797,1638.6711649406466,1637.9568318092313,1639.8958202757442,1643.0328470272777,1645.9607438958774,1653.4606871028434
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,965.5682648367349,981.8072923930504,989.5068929570767,1002.8000812796836,1002.0891689963148,1009.5731610392124,1009.6556839351477,1010.9485963413891,1014.4452351521381,1017.6003214322476,1021.2734920914972,1023.059020370731,1028.5532273365077,1034.208792708466,1042.112619602998,1056.0435768651234,1065.7805378339956,1072.991011633942,1069.4727137517893,1069.202843408197,1070.077654680225,1070.8471080150393,1072.2898738476842,1072.6160759905795,1077.8455945951896,1085.9428476349772,1097.6415526978815,1108.0700291624305,1118.353225492253,1125.229833321805,1131.0179823991627,1133.6746992892538,1136.0448527622673,1139.7548541506014,1142.9008925184237,1145.8395725702076,1148.8875095187925,1156.0668703259269,1168.480533413314,1182.641125190735,1193.892602748902,1202.2051137533647,1209.1375320680368,1215.209915179105,1220.810187948014,1224.7947657081047,1230.0616687072788,1236.6742415847987,1241.6488421705167,1250.7191797698192,1260.562352673087,1275.8981384175884,1288.1784407123732,1300.1470790988146,1308.9303804145957,1316.6189349881497,1321.7285437982266,1325.299898040831,1330.609847436325,1337.900260316193,1348.0308642989642,1358.176544648048,1364.3726193326588,1363.6294600184037,1362.130059863569,1365.2134158867716,1378.9917614830551,1397.9608375210396,1415.776293868518,1431.9878417092752,1445.1560764908531,1455.4914001861002,1467.4947513816599,1479.6467234301178,1502.0702988466164,1532.3394134458097,1577.41862878905,1628.9599430848575,1680.6359857509071,1724.0180633316565,1756.009168363986,1778.2244041890833,1792.7850324254214,1801.875238172565,1811.2345948966265,1821.4501501826705,1836.1693275444923,1848.7678760048746,1859.813360870525,1869.01154320593,1875.9050712126568,1875.0108417875017,1867.9351068315202,1857.7255482010419,1848.954259207227,1841.2144575975287,1835.6414072616506,1838.3720758216614,1851.0235529548327,1860.1724496095894,1867.8037790583996,1869.2313309243686,1875.992763656404,1877.4627243452821,1876.1666361516484,1872.177851790686,1862.3710958909646,1854.957078534032,1851.0171270785918,1859.8743734738555,1870.0635022587046,1880.698443027685
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1687.9388187285645,1698.2860538054858,1709.0135949660576,1710.9107237317412,1721.3370866283162,1729.3092163487545,1746.8254804891885,1758.0199477432614,1768.2088083706935,1772.473049468075,1770.5490724572328,1776.8463392067094,1780.2431025336575,1790.7801006665845,1801.9385465456592,1815.4270319478346,1832.4509159343738,1845.7239609847536,1856.1152941376158,1856.50126144603,1857.9175363802196,1859.7862119483018,1863.1818171428836,1866.1747097447333,1874.2239875826817,1890.9897227828783,1909.2243112693627,1926.4478344868467,1943.0498894440734,1956.1171290859718,1967.573803443389,1971.8149421331132,1975.2706024639338,1977.0058659075723,1978.1009491707325,1979.4316837338833,1988.3944997500141,2000.8077152992605,2015.6026010467056,2027.9259547785675,2043.889602950388,2055.5734537520498,2065.225537974036,2073.6782386462733,2079.401859393171,2080.524886200776,2074.205391143533,2075.9290356307315,2081.397724538568,2089.567303679341,2095.4828666460576,2105.314635056247,2117.1818260832556,2130.8312761125644,2142.810967480035,2152.6164890019536,2154.291082332228,2154.380622822231,2152.890599773493,2158.8660159110914,2163.329994278585,2170.957920127198,2173.644949468947,2164.6213120216917,2156.591214436929,2154.8866021309373,2168.1866109457624,2178.6993803554533,2191.6146699773253,2206.7567713969156,2223.5764545914117,2233.05899767927,2239.9175041151434,2248.984484359242,2269.1897801448054,2303.774379435095,2343.445922328365,2387.5794019983277,2435.1413263239097,2490.2743202630713,2542.9099980351752,2576.7137274603265,2597.558997839256,2614.835963181157,2635.3464152971105,2663.935399803173,2695.1782280617763,2740.0405993162067,2785.5248891601277,2832.3724543509707,2865.7679372685093,2893.7497036429672,2900.075377146231,2895.715059789373,2874.583306752603,2860.691162504963,2850.8956897506364,2857.181496694118,2881.1680929190366,2913.483573419052,2950.601913925955,2977.1296686140386,2999.3530597488766,3009.3479124300707,3006.715428902088,2992.180426808928,2969.478467244984,2949.607704756072,2938.7167140541196,2945.1007646371713,2962.706446499207,2988.9815985068904
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1942.197053084956,1953.0343340822358,1961.9055322062718,1975.3137081793684,1985.799797309712,2000.427598472028,2010.6890583024376,2021.884203295326,2024.5999525557072,2028.8546817141325,2026.1026213636853,2028.5620050592595,2035.5513729998884,2046.4626617665665,2054.103622230078,2059.9381910605803,2075.0812263333505,2093.3543374528617,2104.319775141359,2103.856815796081,2105.5369273489546,2094.265060637706,2098.6632669423225,2094.381638278291,2119.011619558108,2134.469793175017,2156.5338882119245,2169.689296533915,2177.659419234706,2187.543622391206,2193.2003014708775,2199.707837633471,2200.6381098965344,2198.0224911570335,2201.453488431511,2203.9552823873214,2214.24475203713,2218.7030507278623,2232.254817183927,2240.2770337000793,2249.135375135546,2254.3248090081142,2260.4768357105263,2262.3665195100557,2263.871309598852,2267.0985665903113,2272.9565517362757,2276.5626297445124,2278.137205676391,2283.5826472676727,2293.115175399328,2301.027473068522,2310.5661620200926,2316.6939528907283,2326.522766726706,2330.9599324565893,2335.6489921691773,2335.6318973154534,2341.521461842144,2342.743613169642,2352.8306987013484,2359.0981336999694,2364.2684410536285,2347.452095592784,2329.610376538407,,,2336.1096878849908,2351.7888704771362,2367.2209660973613,2379.8255719384906,2390.419100016198,2401.1020624343973,2418.161196585816,2437.871310287272,2461.0841077943037,2488.0853779422246,2535.1343114387046,2607.8609011430544,,2776.212414729951,2823.088355934134,2845.4091425769343,2860.903403929203,2877.9971558554616,2898.507357030123,2927.8801328735553,2957.7567027413957,2989.236627665717,3015.7290388850574,3038.760130274235,3049.908297656689,3045.2534378842,3030.518846191208,3013.9609926595567,3000.4468723703317,2992.659668202623,2992.9584056642434,3002.844573170046,3020.0525517776423,3041.2822480540253,3064.4408448937393,3099.69234866326,3128.77836401216,3141.0089687885293,3137.560687279187,3121.5830866985652,3114.5277143587714,3111.0374421962074,3121.2714188808495,3126.540148345794,3138.0012079189673
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2312.6154186260073,2327.0183295529782,2348.047148163764,2370.3666167546307,2392.711419289055,2424.431223357777,2443.1667694399057,2454.287499923749,2467.736772159983,2477.70578737754,2469.1639380465067,2442.623223624709,2431.174353591302,2434.9578467541114,2452.314944196553,2459.6066751478356,2466.4405666869116,2481.842596039781,2498.4406855559623,2511.7212572593257,2513.2255215459772,2510.545153607475,2508.340828336858,2495.450064795899,2486.9828822955797,2478.3625662143622,2484.231705930441,2494.2142380580076,2509.560136441014,2525.1449662128857,2542.303289462202,2556.6751297893666,2556.097374837393,2536.8009910123337,2516.0504940320166,2501.24466692215,2501.3727392972246,2502.7069640445884,2518.0795988457085,2535.875853743681,2556.3839422017722,2571.5610337078056,2584.2350300773683,2593.9780919435866,2593.30932387766,2584.4131581671063,2570.1133659534344,2557.052868103451,2558.950059721507,2571.1949650629344,2593.822448052924,2611.8319504575084,2635.9906131202133,2653.7798960647115,2676.6887440145492,2692.682305063604,2707.6996456992138,2711.544536951692,2706.7185754409065,2698.563599416899,2699.418768335968,2710.9090812017753,2728.2352278562034,2720.7045948523582,2700.5727509782955,2668.1017589000116,2644.4275951102272,2608.970755168953,2560.9093959125526,2516.6148183009273,2484.252044365384,2463.701147665298,2458.1813962119672,2463.55213997377,2489.232507022112,2520.539541880339,2559.595275131196,2609.770798971564,2664.4694812236135,2720.8576998925605,2771.421800810806,2796.3768587383292,2820.571412637155,2828.26672905477,2861.8308696121344,2895.0280971273673,2945.9072307706188,2993.9816729222075,3054.3886628655227,3120.683199479896,3182.204427356407,3226.555463612982,3235.2949867888406,3223.047755654822,3179.4308414075576,3148.1677367669517,3137.4153594843874,3153.92058822695,3171.828336416747,3198.6078654403605,3235.423524247693,3280.508430791617,3314.9524112941035,3332.4112941572334,3339.9787989837764,3321.897951069096,3282.461249014926,3251.2074718947206,3249.788384769419,3273.6074575221596,3303.487946673454,3327.740759900585
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1700.9873931604827,1712.3717783308518,1725.3630007315874,1735.5128786724663,1747.4938036778035,1755.6814338673505,1763.3797631598945,1769.9569640285351,1779.347709624573,1781.335697137799,1785.4320421971752,1789.8093475001017,1798.2787487352432,1801.596149731938,1802.8348385888373,1802.504229432645,1804.6213599930982,1803.3668837513467,1801.8200523537005,1799.5641277132759,1798.8310617548425,1795.8093752870102,1791.820972630202,1782.7018096070813,1787.65422458768,1792.831728867675,1805.7983663292637,1807.4361956605353,1811.2592011009283,1813.550486381759,1816.379915277397,1818.7264790069746,1821.2732083248816,1825.6211150241513,1826.4194497227427,1827.7979682667878,1828.5937969925415,1832.769340994078,1837.5762385731316,1843.4866777806503,1846.3416537567175,1852.3584110196878,1856.8982501293685,1863.6056897346252,1867.3729333708593,1870.9581642781643,1873.3510966609065,1876.2694503489165,1877.317541318659,1876.334306430434,1877.9223059090828,1883.217148043674,1889.744286065533,1894.0024285660227,1894.8780344044737,1898.1124247611524,1900.2077121405675,1908.8853396554007,1919.2755827085691,1928.8788163907914,1932.9957851778504,1933.8902035679648,1933.7494747082849,1922.4814404750637,1909.7212255024033,1902.8250800186509,1905.5615251337153,1907.0140996554217,1903.769701833819,1909.7989870607798,1926.5064684327401,1945.0530789380462,1971.9215035570185,2003.1637903378728,2041.4937427702218,2079.65455742873,2130.106603306844,,2267.26372393481,2332.7032200366543,2394.285733363982,2445.1405195629713,2492.14110944415,2549.106770155961,2602.6720390613386,2668.45039124598,2728.901143685978,2791.273002320924,2842.017988263765,2870.819488159398,2894.264957767409,2904.2061808893877,2910.787061575133,2907.870119740264,2903.1469558054187,2904.3996741156125,2906.3072634845544,2916.1390967620146,2926.502128368013,2941.519607579466,2948.4437984125957,2949.084418374143,2950.7435201681787,2946.4764007915105,2946.7463914588534,2946.2253178153583,2954.2911145099724,2949.5617582266473,2953.305752268793,2960.217717182162,2981.463275734666,2992.910761594969
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1091.3277566178895,1095.2430145402031,1102.9110187032088,1116.5807243731642,1129.5295373690483,1139.0835991243428,1147.8144024871349,1150.5804899029263,1152.3312177227256,1154.4412860726386,1159.6863961926745,1164.1157376401875,1165.88940620869,1170.6183161477934,1178.432749995363,1189.2240260693038,1197.6932762765105,1207.034020031372,1211.0782145431829,1213.2122179442085,1211.7847901151063,1208.940250850518,1211.9961092306978,1213.5975574307563,1229.4935854109326,1236.7484667009198,1252.424616737123,1258.7613782584299,1272.127586098511,1276.4279490495608,1281.3012056575228,1281.3954531546217,1282.0797867637175,1280.265187278627,1287.2378772951627,1291.627757108629,1296.4802390962134,1302.8676723813523,1305.828803480776,1310.8630798247452,1310.4823609964158,1323.277750217247,1329.2865319047191,1333.159676798146,1325.6736548285871,1328.1924445878287,1330.0360422418148,1334.331052210471,1337.9758761783407,1341.9442545425513,1351.9552132047813,1360.1024634468806,1368.2376152117931,1379.7957486266175,1383.3946851565584,1387.466478092438,1385.1100899131827,1384.118058653868,1379.654447184996,1374.253492353264,1378.0997358724803,1385.3821541373272,1392.6900902975106,1391.5420522189986,1387.7793621072426,1386.7077788699478,1387.7486739100675,1390.7652391127976,1394.2455761722774,1398.7002354378346,1401.7302685690684,1404.9909280120928,1404.6948233668782,1409.798864814808,1417.842992089554,1439.1959487420659,1466.5856946611093,1499.5955570463707,1533.455701421484,1563.3687027329397,1588.501984912498,1601.6239743292215,1611.637766264047,1618.100979821364,1632.3503785999987,1649.615687979313,1662.838541095689,1683.9627700780275,1707.9515216138238,1744.7248273360344,1767.3034779585012,1775.845135706535,1769.814028877402,1754.9417969785684,1742.5562215774462,1731.6360337796955,1728.718298187124,1729.5940965422647,1737.4411032513767,1746.0495568810002,1756.284222754453,1764.8447340417124,1771.824111707666,1774.6027208921992,1771.5802730299263,1765.5172871074633,1759.6422770151082,1752.000920808922,1746.8214552135319,1741.5081686983337,1740.0333258795406,1742.6691687371895
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1395.1413030454607,1398.720331579557,1401.116817581408,1409.0350881741203,1415.4173323566074,1427.987818905879,1437.4207819387727,1443.758019299105,1449.5532612850538,1456.7537206203076,1462.3942659556706,1466.5759353847568,1466.0602908137441,1474.476577460876,1478.5160220139878,1488.34206564803,1493.6937994332309,1495.7909478831707,1499.717178085359,1504.7277367343574,1519.550271888369,1519.8922205929016,1527.254343161511,1523.4150807538804,1540.4916780713404,1548.4298727393227,1563.2810552835303,1570.523937720702,1578.3287767304864,1589.8701690072173,1600.4985007617306,1613.206803213762,1619.5594521347357,1625.1032139134104,1630.3106322099711,1632.3686020185733,1638.6885496929683,1645.848022184017,1658.8473868870124,1664.4490393467604,1669.3889582395693,1677.323240313175,1686.6009547872818,1697.2292943936043,1708.4969060017927,1720.1347042130913,1727.051122261603,1732.0850466817421,1735.0843590060158,1738.584812257212,1743.8115710070017,1753.2730893130772,1763.842090745692,1772.8773554142904,1780.9954421403415,1791.548829366967,1798.853407167046,1805.396191829146,1806.1105607439472,1811.3379247720968,1813.7310670417394,1822.775474577207,1826.735721928511,1822.9661797979923,1817.2298482526191,1823.690290490102,1845.2246890414608,1878.2058208560666,1909.0565947127313,1939.3872565036172,1968.9102819017626,1991.6145193271796,2013.0515208199063,2034.9554882016657,2061.501744917181,2082.584539900845,2121.284727871904,2161.8597034449645,2222.7938256373845,2264.843065546051,2304.4722550698307,2322.447118159779,2341.8389034527677,2350.708520270524,2373.815501274256,2388.941249085516,2423.8874189581184,2445.34845791068,2462.9923760833844,2473.764904939278,2489.40122807408,2502.242351445557,2509.8722653670984,2505.362126220678,2498.9658509171504,2488.45475956777,2489.3988741075577,2494.5946656626834,2501.7006591704576,2505.980930285681,2509.946077479946,2514.0874067758446,2516.713345158529,2529.2391730232675,2535.551763352838,2562.6894959033934,2564.3115514409,2573.5734338639772,2556.0750721481277,2569.3481309528015,2573.8835581998214,2588.769503887925
